PULocationID,DOLocationID,trip_distance,passenger_count,fare_amount,total_amount,duration,prediction
42,41,1.62,1.0,8.0,10.56,7.316666666666666,9.511668651703234
244,152,1.18,1.0,6.5,7.8,5.316666666666666,8.298255122397045
75,166,1.89,1.0,9.5,13.56,11.95,11.015903096789202
95,121,2.44,1.0,11.0,12.8,13.6,11.816278600238093
75,74,1.47,1.0,7.5,12.0,8.666666666666666,9.309584042206478
244,152,2.19,1.0,12.0,16.56,15.983333333333333,12.58345661651956
74,75,1.21,1.0,6.5,7.3,7.8,8.327453922936568
41,151,1.23,1.0,7.5,9.3,8.083333333333334,9.399535721189832
210,29,0.67,5.0,5.0,6.8,4.65,6.649621377791207
75,263,0.86,1.0,6.0,13.19,5.833333333333333,8.906865071885438
95,196,1.55,1.0,8.5,9.3,8.5,10.10975857007075
75,159,4.83,1.0,16.5,17.8,18.55,15.989151235926075
213,150,25.95,2.0,70.5,80.17,48.9,56.16322679751298
56,173,0.83,1.0,5.5,6.3,4.7,7.8905428996443465
25,188,3.1,1.0,14.0,15.3,16.916666666666668,14.30262320133335
169,169,0.0,1.0,13.0,13.3,3.55,13.208290670706036
75,263,1.38,1.0,7.0,12.55,6.966666666666667,9.53696767222589
65,17,3.99,1.0,21.5,22.3,32.266666666666666,19.273809170281353
247,227,18.85,1.0,56.0,56.8,58.35,45.07783046890181
74,24,1.58,1.0,8.0,8.8,9.2,9.29457412536658
42,236,2.6,1.0,13.0,18.55,18.733333333333334,13.952875463871049
146,260,2.39,1.0,10.5,12.3,12.833333333333334,11.750943925293242
244,127,3.32,1.0,12.0,12.8,11.116666666666667,12.262800367809323
41,143,2.75,1.0,10.5,14.55,9.533333333333333,11.746148812051224
75,263,1.12,1.0,7.0,13.26,7.033333333333333,9.584349964603101
197,215,2.21,1.0,13.0,14.8,16.8,13.391131438992723
193,7,1.62,1.0,9.0,10.8,13.65,9.859357474554066
25,63,6.2,1.0,26.5,30.3,38.85,23.365466019048412
41,116,1.56,1.0,7.5,9.3,7.733333333333333,9.301944879594195
74,166,1.98,1.0,10.0,13.5,12.116666666666667,11.349933383576467
74,42,2.34,1.0,12.5,14.8,16.816666666666666,12.772923826502156
95,95,1.07,1.0,6.0,9.36,5.483333333333333,8.150077375659789
134,135,2.11,1.0,7.5,11.8,6.533333333333333,9.37013516037969
41,152,1.51,1.0,8.0,10.56,7.883333333333334,9.82284604012722
65,65,1.0,1.0,7.5,8.3,9.666666666666666,9.053790377145425
74,42,1.6,4.0,8.5,9.3,9.366666666666667,9.500722249191133
75,141,1.7,1.0,12.5,16.05,17.866666666666667,13.130789917582575
65,62,3.75,2.0,20.0,22.8,28.5,18.352192455443664
49,197,12.07,1.0,37.5,41.05,29.7,31.81867619489519
95,61,7.31,6.0,23.5,24.3,23.766666666666666,20.470460491973185
42,142,3.7,1.0,15.5,23.81,19.5,15.723903878053115
116,42,1.26,1.0,6.0,6.8,4.65,7.797139818615368
7,223,1.47,1.0,6.5,7.3,5.483333333333333,8.849492961065163
74,41,1.38,2.0,8.0,11.0,8.866666666666667,9.417553996589255
195,188,5.74,1.0,23.0,26.8,29.7,20.848296011303823
74,236,2.6,1.0,13.5,19.0,19.166666666666668,14.267115150685747
43,237,2.01,1.0,11.0,17.46,14.616666666666667,12.535644830143523
97,189,1.43,1.0,9.5,10.3,12.233333333333333,10.826522052931892
244,41,2.56,1.0,11.5,15.99,13.583333333333334,11.899473517672519
25,40,1.22,2.0,6.5,8.76,7.566666666666666,8.335961380346603
119,18,16.0,1.0,48.0,57.67,40.88333333333333,39.379319170338924
75,14,17.55,1.0,50.0,54.55,49.083333333333336,40.57734188638231
244,166,2.83,1.0,12.5,14.3,14.333333333333334,12.808067868449012
24,74,1.81,1.0,9.5,12.0,10.75,10.738392297064426
129,138,2.77,1.0,10.5,11.3,9.183333333333334,11.371712137743348
41,41,0.21,1.0,3.5,4.3,2.1,6.06776158106884
130,218,2.34,1.0,11.5,16.62,15.166666666666666,12.62108549404541
19,92,7.44,1.0,24.5,26.3,26.833333333333332,21.843574017578675
244,239,4.99,1.0,16.0,24.05,11.4,16.017387037085786
42,41,0.97,1.0,6.5,8.76,7.35,8.382283259154626
52,33,0.8,1.0,6.0,8.8,6.633333333333334,8.009923184730262
74,244,2.6,1.0,10.0,10.8,10.45,11.38725250538526
244,48,6.63,3.0,20.5,26.3,14.65,18.520055086879083
41,236,1.77,1.0,12.5,19.26,17.483333333333334,13.66546230709921
155,97,0.0,1.0,22.2,23.0,32.3,19.867599750182727
74,236,2.1,1.0,9.0,15.06,9.966666666666667,10.976485763770537
74,236,2.06,1.0,9.0,14.91,10.466666666666667,10.966470982411899
213,210,29.4,2.0,80.5,87.42,50.11666666666667,63.54267095779152
